benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era,peak_memory_during_construction,peak_memory_during_reduction,agent_count_at_construction_complete,live_agent_count_watermark,representation,chunk_size,recycle_policy
ep_annihilation,31623,sequential,0,0,true,0.000756,31623,41.852,0,1.0000,1.0000,0.0000,11878400,0,0,0,0,31623,0,0,0,11878400,11878400,63246,0,dense,1000,disable-under-delta
ep_annihilation,31623,sequential,0,1,true,0.000986,31623,32.056,0,1.0000,1.0000,0.0000,12177408,0,0,0,0,31623,0,0,0,11878400,12177408,63246,0,dense,1000,disable-under-delta
ep_annihilation,31623,sequential,0,2,true,0.000729,31623,43.387,0,1.0000,1.0000,0.0000,12177408,0,0,0,0,31623,0,0,0,11878400,12177408,63246,0,dense,1000,disable-under-delta
ep_annihilation,31623,sequential,0,3,true,0.000826,31623,38.281,0,1.0000,1.0000,0.0000,12177408,0,0,0,0,31623,0,0,0,11878400,12177408,63246,0,dense,1000,disable-under-delta
ep_annihilation,31623,sequential,0,4,true,0.000737,31623,42.894,0,1.0000,1.0000,0.0000,12177408,0,0,0,0,31623,0,0,0,11878400,12177408,63246,0,dense,1000,disable-under-delta
ep_annihilation,31623,local,2,0,true,0.015815,31623,2.000,1,0.0478,0.0239,0.9170,21110784,0,0,0,0,31623,0,0,0,11878400,21110784,63246,63246,dense,1000,disable-under-delta
ep_annihilation,31623,local,2,1,true,0.014464,31623,2.186,1,0.0522,0.0261,0.9084,21110784,0,0,0,0,31623,0,0,0,11878400,21110784,63246,63246,dense,1000,disable-under-delta
ep_annihilation,31623,local,2,2,true,0.014256,31623,2.218,1,0.0530,0.0265,0.9116,21110784,0,0,0,0,31623,0,0,0,11878400,21110784,63246,63246,dense,1000,disable-under-delta
ep_annihilation,31623,local,2,3,true,0.014697,31623,2.152,1,0.0514,0.0257,0.9089,21110784,0,0,0,0,31623,0,0,0,11878400,21110784,63246,63246,dense,1000,disable-under-delta
ep_annihilation,31623,local,2,4,true,0.014520,31623,2.178,1,0.0520,0.0260,0.9143,21110784,0,0,0,0,31623,0,0,0,11878400,21110784,63246,63246,dense,1000,disable-under-delta
ep_annihilation,100000,sequential,0,0,true,0.002179,100000,45.896,0,1.0000,1.0000,0.0000,29712384,0,0,0,0,100000,0,0,0,24862720,29712384,200000,0,dense,1000,disable-under-delta
ep_annihilation,100000,sequential,0,1,true,0.002191,100000,45.650,0,1.0000,1.0000,0.0000,29712384,0,0,0,0,100000,0,0,0,24862720,29712384,200000,0,dense,1000,disable-under-delta
ep_annihilation,100000,sequential,0,2,true,0.002222,100000,45.006,0,1.0000,1.0000,0.0000,29712384,0,0,0,0,100000,0,0,0,24862720,29712384,200000,0,dense,1000,disable-under-delta
ep_annihilation,100000,sequential,0,3,true,0.002250,100000,44.452,0,1.0000,1.0000,0.0000,29712384,0,0,0,0,100000,0,0,0,24862720,29712384,200000,0,dense,1000,disable-under-delta
ep_annihilation,100000,sequential,0,4,true,0.002110,100000,47.385,0,1.0000,1.0000,0.0000,29712384,0,0,0,0,100000,0,0,0,24862720,29712384,200000,0,dense,1000,disable-under-delta
ep_annihilation,100000,local,2,0,true,0.048447,100000,2.064,1,0.0452,0.0226,0.9444,56696832,0,0,0,0,100000,0,0,0,24862720,56696832,200000,200000,dense,1000,disable-under-delta
ep_annihilation,100000,local,2,1,true,0.050466,100000,1.982,1,0.0434,0.0217,0.9483,56696832,0,0,0,0,100000,0,0,0,24862720,56696832,200000,200000,dense,1000,disable-under-delta
ep_annihilation,100000,local,2,2,true,0.092446,100000,1.082,1,0.0237,0.0118,0.9699,56696832,0,0,0,0,100000,0,0,0,24862720,56696832,200000,200000,dense,1000,disable-under-delta
ep_annihilation,100000,local,2,3,true,0.045022,100000,2.221,1,0.0487,0.0243,0.9447,56696832,0,0,0,0,100000,0,0,0,24862720,56696832,200000,200000,dense,1000,disable-under-delta
ep_annihilation,100000,local,2,4,true,0.045034,100000,2.221,1,0.0486,0.0243,0.9462,56696832,0,0,0,0,100000,0,0,0,24862720,56696832,200000,200000,dense,1000,disable-under-delta
ep_annihilation,316228,sequential,0,0,true,0.007246,316228,43.641,0,1.0000,1.0000,0.0000,73261056,0,0,0,0,316228,0,0,0,73261056,73261056,632456,0,dense,1000,disable-under-delta
