benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era,peak_memory_during_construction,peak_memory_during_reduction,agent_count_at_construction_complete,live_agent_count_watermark,representation,chunk_size,recycle_policy,vmrss_peak_mb,vmrss_current_end_mb,stop_reason
ep_annihilation,3162278,sequential,0,0,true,0.072492,3162278,43.622,0,1.0000,1.0000,0.0000,0,0,0,0,0,3162278,0,0,0,,,6324556,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,local,2,0,true,1.980857,3162278,1.596,1,0.0366,0.0183,0.9563,0,0,0,0,0,3162278,0,0,0,,,6324556,6324556,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,sequential,0,0,true,0.075331,3162278,41.978,0,1.0000,1.0000,0.0000,0,0,0,0,0,3162278,0,0,0,,,6324556,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,3162278,local,2,0,true,1.917301,3162278,1.649,1,0.0393,0.0196,0.9556,0,0,0,0,0,3162278,0,0,0,,,6324556,6324556,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.234565,10000000,42.632,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,local,2,0,true,7.477489,10000000,1.337,1,0.0314,0.0157,0.9596,0,0,0,0,0,10000000,0,0,0,,,20000000,20000000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.239108,10000000,41.822,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,local,2,0,true,7.507682,10000000,1.332,1,0.0318,0.0159,0.9619,0,0,0,0,0,10000000,0,0,0,,,20000000,20000000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.244487,10000000,40.902,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,local,2,0,true,7.454643,10000000,1.341,1,0.0328,0.0164,0.9626,0,0,0,0,0,10000000,0,0,0,,,20000000,20000000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.250589,10000000,39.906,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,local,2,0,true,7.487881,10000000,1.335,1,0.0335,0.0167,0.9625,0,0,0,0,0,10000000,0,0,0,,,20000000,20000000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.234628,10000000,42.621,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,local,2,0,true,7.450457,10000000,1.342,1,0.0315,0.0157,0.9625,0,0,0,0,0,10000000,0,0,0,,,20000000,20000000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000221,10000,45.228,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,4,0,true,0.002577,10000,3.880,1,0.0858,0.0214,0.8974,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000212,10000,47.148,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,4,0,true,0.002519,10000,3.969,1,0.0842,0.0210,0.8945,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000257,10000,38.971,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,4,0,true,0.002847,10000,3.512,1,0.0901,0.0225,0.8840,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000242,10000,41.374,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,4,0,true,0.002572,10000,3.889,1,0.0940,0.0235,0.8873,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000231,10000,43.234,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,4,0,true,0.002561,10000,3.905,1,0.0903,0.0226,0.8853,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
